Città,mail,Fb,Ig,X
Alcamo,mediterraneaalcamo@gmail.com,https://www.facebook.com/mediterraneaalcamo/,https://www.instagram.com/mediterraneapesaro/,
Alta Murgia,mediterranea.altamurgia@gmail.com,,https://www.instagram.com/mediterraneaaltamurgia/,
Barcelona,bcn@mediterranearescue.org,https://www.facebook.com/mediterraneabcn/,https://instagram.com/mediterraneabcn,
Bari,mediterranea.ba@gmail.com,,,
Belluno,mediterraneabelluno@gmail.com,,https://www.instagram.com/mediterranea_belluno/,
Bergamo,mediterraneabergamo@gmail.com,https://www.facebook.com/Mediterranea-Bergamo-101641805420219/,https://www.instagram.com/mediterraneabg/,
Berlin,berlinersformediterranea@gmail.com,https://www.facebook.com/mediterraneaberlinev,https://instagram.com/berliners4mediterranea,https://twitter.com/berlinersfor
Bologna,mediterraneabologna@gmail.com,https://www.facebook.com/Mediterranea-Bologna-108241648276513/,https://instagram.com/mediterranea_bologna,
Bolzano,mediterraneabolzano@gmail.com,https://www.facebook.com/profile.php?id=61553880287176,https://www.instagram.com/mediterranea_bz/,
Brescia,bresciapermediterranea@gmail.com,https://www.facebook.com/Bresciapermediterranea/,https://instagram.com/bresciapermediterranea,https://twitter.com/med_brescia1
Bruxelles,mediterraneabxl@gmail.com,https://www.facebook.com/mediterraneabxl,https://www.instagram.com/mediterraneabxl/,
Carpi,carpimediterranea@gmail.com,https://www.facebook.com/mediterraneacarpi/,https://instagram.com/mediterraneacarpi,
Chioggia,mediterranea.chioggia@gmail.com,https://www.facebook.com/RescueMedChioggia,https://www.instagram.com/mediterranea_chioggia/,
Empolese Valdelsa,mediterraneaempolesevaldelsa@gmail.com,https://www.facebook.com/mediterraneaempolesevaldelsa/,https://instagram.com/mediterraneaempolese,
Ferrara,mediterranea.fe@gmail.com,https://www.facebook.com/profile.php?id=100083339257177,https://www.instagram.com/mediterraneaferrara/,
Firenze,firenzemediterranea@gmail.com,https://www.facebook.com/MediterraneaFirenzeEdT/,https://instagram.com/mediterraneafirenze,
Forlì Cesena,mediterraneasavinghumansfc@gmail.com,https://www.facebook.com/mediterranearescuefc/,https://instagram.com/mediterranea_forlicesena,
Formigine,mediterranea.formigine@gmail.com,https://www.facebook.com/mediterraneaformigine/,https://instagram.com/mediterranea_formigine,
Genova/Liguria,mediterranea.liguria.edt@gmail.com,https://www.facebook.com/mediterraneagenova/,https://www.instagram.com/mediterranea_liguria/,
Lecce,mediterranea.lecce@gmail.com,https://www.facebook.com/profile.php?id=100093579217432,https://www.instagram.com/mediterranealecce/,
Marigliano,mediterraneamarigliano@gmail.com,https://www.facebook.com/profile.php?id=61573428013515,https://www.instagram.com/mediterranea.marigliano/,
Messina,mediterranea.messina@gmail.com,,https://www.instagram.com/mediterranea_messina/,
Milano,mediterranea.milano.edt@gmail.com,https://www.facebook.com/mediterraneamilano/,https://www.instagram.com/mediterranea_milano/,
Modena,mediterranea.modena@gmail.com,https://www.facebook.com/mediterraneamodena/,https://instagram.com/mediterranea_modena,
Monaco,mediterranea.munich@gmail.com,,https://www.instagram.com/mediterranea_munich/,
Napoli,napoli@mediterranearescue.org,https://www.facebook.com/MediterraneaNapoli/,https://instagram.com/mediterraneanapoli,https://twitter.com/RescueMedNa
Netherlands,mediterraneanetherlands@gmail.com,https://www.facebook.com/profile.php?id=61558117682417,https://www.instagram.com/mediterranea_rescue_nl/,
Padova,mediterranea.padova.edt@gmail.com,https://www.facebook.com/mediterraneapadova/,https://www.instagram.com/mediterranea_padova/,
Palermo,mediterranearescue.palermo@gmail.com,https://m.facebook.com/MediterraneaPalermo/,https://instagram.com/mediterraneapalermo,
Parma,mediterranea.parma@gmail.com,https://www.facebook.com/profile.php?id=100091757214420,https://www.instagram.com/mediterranea_parma/,
Pesaro,pesaro-mediterranea@libero.it,https://www.facebook.com/mediterraneapesaro/,https://www.instagram.com/mediterraneapesaro/,
Pescara,mediterraneasavinghumans.pe@gmail.com,https://www.facebook.com/mediterraneapescara/,https://instagram.com/mediterranea_pescara,
Pistoia,mediterraneapistoia@gmail.com,https://www.facebook.com/MediterraneaRescuePistoia,https://www.instagram.com/mediterraneapistoia/,
Reggio Emilia,mediterranea.reggioemilia@gmail.com,https://www.facebook.com/mediterraneareggioemilia/,,
Rimini,mediterranearimini@gmail.com,https://www.facebook.com/profile.php?id=100071141005307,https://www.instagram.com/mediterranearimini/,
Roma,mediterraneash.roma@gmail.com,https://www.facebook.com/Mediterranearoma/,https://instagram.com/mediterranearoma,
Rovigo Centro,mediterranea.rovigo@gmail.com,https://www.facebook.com/profile.php?id=61577940503031,https://www.instagram.com/mediterranea_rovigocentro/,
Rovigo Polesine,mediterranea.polesine.ro@gmail.com,https://www.facebook.com/profile.php?id=100070144145514,https://www.instagram.com/mediterranea_polesine.rovigo/,
Scafati,mediterranea.scafati@gmail.com,https://www.facebook.com/mediterraneascafati/,https://www.instagram.com/mediterranea_scafati/,
Switzerland,mediterranea.ch@gmail.com,https://www.facebook.com/mediterranea.ch,https://www.instagram.com/mediterranea.switzerland/,
Taranto,mediterranea.ta@gmail.com,https://www.facebook.com/MediterraneaSHTaranto,https://instagram.com/mediterraneataranto?igshid=YmMyMTA2M2Y=,
Termoli,mediterraneatermoli@gmail.com,https://www.facebook.com/mediterraneatermoli/,https://www.instagram.com/mediterranea_termoli/,
Torino,mediterraneatorino@gmail.com,https://www.facebook.com/mediterraneatorino/,https://instagram.com/mediterranea_torino,
Trapani,mediterraneatrapani@gmail.com,https://www.facebook.com/profile.php?id=61583542696197,https://www.instagram.com/mediterraneatrapani/,
Trento,mediterraneatrento@gmail.com,https://www.facebook.com/MediterraneaTrento/,https://instagram.com/mediterranea.trento,
Varese,mediterranea.edt.varese@gmail.com,https://www.facebook.com/profile.php?id=61560110800643,https://www.instagram.com/mediterraneavarese/,
Venezia,mediterranea.ve@gmail.com,https://www.facebook.com/RescueMedVenezia/,https://instagram.com/medvenezia,https://twitter.com/RescueMedVe
Verona,mediterranea.vr@gmail.com,https://www.facebook.com/mediterraneaverona/,https://instagram.com/mediterranea_verona,https://twitter.com/RescueMedVr
Vicenza,mediterranea.vi@gmail.com,https://www.facebook.com/mediterraneavicenza/,,
